pool_bech32,ticker,stake_ada,delegators,endpoint_kind,endpoint_host,port,defect,why,blocks_all_time,endpoints_registered
pool1wngesrk9ju3x7fzmuqae49lp385k5khgmtz97rza629pwg86nlj,SKYW,10923,3,ipv4,192.168.0.81,8081,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool1wngesrk9ju3x7fzmuqae49lp385k5khgmtz97rza629pwg86nlj,SKYW,10923,3,ipv4,192.168.0.82,8082,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool16e0qmln8gvtnjcpcvgvjdlhcnsz6z95uw90c58t50qfkc6rqek6,HENRY,10000,1,ipv4,192.168.0.71,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool16e0qmln8gvtnjcpcvgvjdlhcnsz6z95uw90c58t50qfkc6rqek6,HENRY,10000,1,ipv4,192.168.0.72,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool1mnghpud4rypv76fgq5urhzaujlevp94tjxug6556e9qyua43ktl,TRDMK,5612,9,ipv4,192.168.1.128,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool1wh23dzv4mjrm2lv5y5k3pk9yx8dpggd63ma6duesvzvvymawpny,VENOM,5266,5,ipv4,10.0.0.221,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool167n02n48l5hfgfu6e46xq8n3yefccm9dcnmefkmxuymhc8ncrjm,,2690,2,srv,https://relays.stakeops.com,,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,2,3
pool1t8tw057cgksma0f6pawcy7npnwfu0psx64jdr6sqhza55mdvkls,S2S,1756,7,ipv4,10.0.30.2,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1w404pkpkkw067ju4gjnyjdmqfex6wn92vrffhy9txhw5kxzupk5,,1353,2,ipv4,192.168.1.121,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool1w404pkpkkw067ju4gjnyjdmqfex6wn92vrffhy9txhw5kxzupk5,,1353,2,ipv4,192.168.1.131,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,2
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2009,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2010,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2008,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2007,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2006,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2005,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2004,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2003,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2002,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1u4708qd88n0ux2capce6gz6zcjvtwfsfpdu28h6kkh5yskg9eck,,497,1,ipv4,192.168.1.16,2001,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1fjxud865hvsg3us4t5ndv6jhjcssj5rg2eq783664wpn720deqr,,149,2,dns,http://cbox-relay-1-1.uksouth.cloudapp.azure.com,3001,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,0,2
pool1fjxud865hvsg3us4t5ndv6jhjcssj5rg2eq783664wpn720deqr,,149,2,dns,http://cbox-relay-2-1.uksouth.cloudapp.azure.com,3001,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,0,2
pool1lzg07gaddygem6f5ch60yv0l0g2529af87hqgw6gkqdmsfs39z9,COSMV,122,1,dns,yhsvbu,6000,hostname_not_qualified,a name with no dot cannot resolve in public DNS,0,15
pool1ju00mkurj9t920staddyd3ln9r98kktx38jrer0zp82eg8x36jf,,115,3,ipv4,127.0.0.1,3001,loopback_address,"a loopback address resolves to the machine doing the asking, so no other node can ever reach it",0,1
pool1g43yqk4yuflm07faedr9qsgwdvjuw4welxae2vcv7ymyj27q8mg,,92,1,ipv4,10.0.0.119,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool13w9mcp8af4ef8vwsw624ams38w7hs0chvtjknz2t3pcxkm8w9m2,,10,2,dns,localhost,42069,hostname_not_qualified,a name with no dot cannot resolve in public DNS,9,1
pool194rde70lnsrdu692j6hzrth2ka08l2t4g9mj0xl8tyfmuny7faj,COW,10,1,dns,http://206.81.13.217,6000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,0,1
pool1jz4vmzq5zkedem6wep8c99fxatxgvymlvdzs9qxxn7xsuv4m8um,,6,1,ipv4,10.128.0.3,8000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1yw8qh0jnnl6eumgzt77fulfhgmyzda39zcndgvyc27ffu6jeh5w,,5,1,dns,eagle.cview.vn/ada,3000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,0,1
pool15l8p8v8yzdjvl3vml6qafx0wgy4k6t938jl0qy24wslgw7xlhc2,,0,4,ipv4,172.31.75.190,3001,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool16zfptlhz8qd0zhufg5w09cp44rm50xt3mphwt28l4cxw55ewvh0,,0,0,ipv4,127.0.0.1,3001,loopback_address,"a loopback address resolves to the machine doing the asking, so no other node can ever reach it",0,1
pool18tdd78q5vgr9qy2lun7m8srmnuc3h2mg6vqe66gezjh4glujje3,,0,1,ipv4,10.128.0.6,6000,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool19ccud9eawdghzqg8425g8upxqws9r64f35f3cvv3vpxdcl879cn,,0,1,ipv4,192.168.1.108,6003,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1fn2e64q388nustgn7ca0tangxa29ta5z908cq2c5nztj6sntdsk,,0,1,ipv4,10.0.0.121,3001,private_address,a private (RFC1918) address is only reachable inside the operator's own network,0,1
pool1sqxvayj9w80g42w7chla9x56atj75jwxvkrkrtkcvcyjcak9wx2,,0,1,ipv4,127.0.0.1,3001,loopback_address,"a loopback address resolves to the machine doing the asking, so no other node can ever reach it",0,1
pool1trvj5seg8u2r5tz2usenfmz9vs8qnf3nc8aft6vr9uqhszdlrx0,,0,1,dns,159.203.87.35.https://writecardano.com,6000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,0,2
pool1trvj5seg8u2r5tz2usenfmz9vs8qnf3nc8aft6vr9uqhszdlrx0,,0,1,dns,165.232.157.163.https://writecardano.com,6000,url_not_hostname,the relay field takes a bare hostname; a scheme or path will not resolve,0,2
