gov_action_tx_hash,gov_action_index,type,submitted_at,ratified_epoch,enacted_epoch,expired_epoch,dropped_epoch,anchor_url,title,requested_lovelace
7f320409d9998712ff3a3cdf0c9439e1543f236a3d746766f78f1fdbe1e06bf8,0,InfoAction,2025-03-16T15:33:00,,,553,554,https://raw.githubusercontent.com/blockchainada/ga/refs/heads/main/ga01.jsonld,,
9b62b3c632f329016a968ac25211825bb4f84b12461121c7da3aa11df92370f9,0,InfoAction,2025-03-25T15:51:30,,,554,555,ipfs://bafkreiaqno22swabd3kcqt2awtgwaucdzaagacoemxwadm3exrchhnfite,2025 Net Change Limit,
7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6,0,InfoAction,2025-04-25T07:06:19,,,561,562,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmRrGsZsP5R7cFYFzPXQ9vS2Ux7oTXb1ep1EciLdKqeDWY,2025 Cardano NCL,
bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26,0,InfoAction,2025-05-06T15:45:11,,,563,564,ipfs://bafkreibqma7t2k4rcywvx5afukahhi3dp2so2ugh7t4ljuawhanvk7sr34,Cardano Blockchain Ecosystem Budget: Amaru Node Development 2025,
4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384,0,InfoAction,2025-05-07T00:21:54,,,563,564,https://raw.githubusercontent.com/theeldermillenial/2025-liquidity-budget/df0b26d8796b19b566008ea9eaa8f17fef2cb6d4/info.jsonld,,
637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73,0,InfoAction,2025-05-07T06:46:23,,,563,564,https://ipfs.io/ipfs/bafkreieu47jw2qoxmqz67qyhhj4pi7fssuth5s4mm42qleqtw5tuzs3pgu,Set a 300 million ADA Net Change Limit for Epochs 563–635,
defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49,0,InfoAction,2025-05-07T14:31:00,,,563,564,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmaWrgqcQS7jYyLYFpvBiamZ4mCoeasL78qaPASDaJ6dT3,2025 Cardano Blockchain Ecosystem Budget - 7.5M ₳ for community builders,
e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee,0,InfoAction,2025-05-12T19:40:30,,,564,565,ipfs://bafkreibeajhkes7bxjlkghkingcgltqcwazz2ya5oknveqwt5nont7tg6u,Cardano Blockchain Ecosystem Budget - 275M ada Administered by Intersect,
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45,0,TreasuryWithdrawals,2025-06-25T00:35:31,570,571,,,ipfs://bafkreifw3qs7brjn4tdvyprnh2r343oerbdghasp5ws6ro55frbpll3dta,Amaru Treasury Withdrawal 2025,1500000000000
9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b,0,InfoAction,2025-07-03T08:26:08,,,574,575,ipfs://QmP9iDuML2VmoFigTJifBj87LxZ3DNnREyU27DE1MrpZDg,Cardano GovTool Budget - 12 months full active maintenance and development,
495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280,0,InfoAction,2025-07-10T04:29:26,,,576,577,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmQTpreux4fpWQ5jL4gxZVp7Zx6KNWnoRsj1ApU79c8Y2B,Tempo for Cardono Governance - Maintenance & Development Budget for 2025,
3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9,0,TreasuryWithdrawals,2025-07-17T02:35:25,575,576,,,ipfs://bafkreihj3ddbz7c52l2s3klalsf4ux5xqkawktom5v5apfral37hs6kpki,"Withdraw ₳45,217 for MLabs Core Tool Maintenance & Enhancement: Cardano.nix",45217000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,0,TreasuryWithdrawals,2025-07-18T15:40:57,574,575,,,ipfs://bafkreidjnukg5c7u5zlkxaciy4hkxfixvtquhx6uzlqpydvrxormfqpdm4,"Withdraw ₳2,162,096 for Midgard - Optimistic Rollups administered by Intersect",2162096000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,1,TreasuryWithdrawals,2025-07-18T15:40:57,574,575,,,ipfs://bafkreigt5xy56qjxd7dl2s7u6jxec2cfxevynppvgnnjifc2wawr7md5ha,"Withdraw ₳96,817,080 for 2025 Input Output Engineering Core Development Proposal",96817080000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,2,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreidgiirfod3axto3xf3nducsao5w4rp6vqrijeh5m6mqgdxotaafbq,"Withdraw ₳1,300,000 for Blockfrost Platform community budget proposal",1300000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,3,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreicmz5a6ylplflowjdj7vjzp6glt45k2r6mnhwlmzq7kjkl3fvuzeu,"Withdraw ₳424,800 for Hardware Wallets Maintenance administered by Intersect",424800000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,4,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreigm5xreg7ezyedhowwecyy2qnue3bfhbw5dex5odmvunddeg5jsem,"Withdraw ₳220,914 for Pallas: Sustaining Critical Rust Tooling for Cardano",220914000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,5,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreibcranrq3y5eh7pcjuvq2tcmlapfw2pc7x3nazwp5lonx6docoayu,"Withdraw ₳220,914 for UTxO RPC: Sustaining Cardano Blockchain Integration",220914000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,6,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreigfhg7nn4pshyogcokcuo7ohpjpw6gaatnm74hum5vungrqwvpxs4,"Withdraw ₳130,903 for Lucid Evolution Maintenance administered by Intersect",130903000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,7,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreigjofgwm4qtwn7r3e6nczaxo7jp4fmhzphozrpcuvnx5k2khlbtty,"Withdraw ₳1,161,000 for zkFold ZK Rollup administered by Intersect",1161000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,8,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreihqhuiuwdjyukw4ul5obxz656ndyz5najokjhdw7mbdscskyaalfu,"Withdraw ₳220,914 for Dolos: Sustaining a Lightweight Cardano Data Node",220914000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,9,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreibwg74hpx5vyyixzggxdkunrqy6kdkx2mpp57r6fknkqe7z263omm,"Withdraw ₳300,000 for Ledger App Rewrite administered by Intersect",300000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,10,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreicc2dbqlrkqhahasq2qqho3lry2axt4adrfnamro43m56v5sib7hi,"Withdraw ₳600,000 for Complete Web3 developer stack to make Cardano the smart...",600000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,11,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreiedjhlwerulq5qg5tku2qqremf2cf2dguxvktttnjddei3fxct37a,"Withdraw ₳5,885,000 for OSC Budget Proposal - Paid Open Source Model...",5885000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,12,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreig7hi75t33nvu5t6y4hqf26thdpwvwvqcuzo3o3ehccslrwtf6bwe,"Withdraw ₳578,571 for Gerolamo - Cardano node in typescript",578571000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,13,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreienjc55atyjxfy7ij2mthoud6m2um5snifhjvurflfujf4s2sa3le,"Withdraw ₳243,478 for MLabs Core Tool Maintenance & Enhancement: Plutarch",243478000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,14,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreidlgy2mljdxjknsxzpy6im5xkgsw4ticvwqmgedecs53dzdqhgdlu,"Withdraw ₳11,070,323 for TWEAG's Proposals for multiple core budget project...",11070323000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,15,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreians5wdbxjgttbajinzfrhdxd7q7mzpfahsyyjntcq4xekts4qasu,"Withdraw ₳700,000 for ZK Bridge administered by Intersect",700000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,16,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreiechnwimuhwdwovwscljcsypzjlidrmktcbcssoovbgwgxkm4g4d4,"Withdraw ₳583,000 for Eternl Maintenance administered by Intersect",583000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,17,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreiceukwtpmes66twb3axkdmftpg3p5vyfolgcyhkentlbuilc274fq,"Withdraw ₳657,692 for Scalus - DApps Development Platform",657692000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,18,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreicrrim5wicmsnrjpw7gp52jmebn7a2ly6j4eopjkvdsol6adyboqu,"Withdraw ₳266,667 for Cexplorer.io -- Developer-Focused Blockchain Explorer...",266667000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,19,TreasuryWithdrawals,2025-07-18T15:40:57,577,578,,,ipfs://bafkreihd2hqcfvssop4aqxxqoch63ds6mkpapsfm7j7onyvemzayiby4ua,"Withdraw ₳605,000 for A free Native Asset CDN for Cardano Developers",605000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,20,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreigivcba5jtrmzvr4ilvokyyzbryry63cz6ctow7tjmmkjxpvgfbsq,"Withdraw ₳212,000 for AdaStat.net Cardano blockchain explorer",212000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,21,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreidy6xsjjpdccodhiurbdcvtcf5tqzkyfgx3ruuhso2ijjuovycuny,"Withdraw ₳15,750,000 for a MBO for the Cardano ecosystem: Intersect",15750000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,22,TreasuryWithdrawals,2025-07-18T15:40:57,577,578,,,ipfs://bafkreigltrp3abb6s667vrtnyspriii2j4wg25cieulbn26s3v36d4qsay,"Withdraw ₳592,780 for Beyond Minimum Viable Governance: Iteratively Improvin....",592780000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,23,TreasuryWithdrawals,2025-07-18T15:40:57,574,575,,,ipfs://bafkreid2pq5icpp77nfvdvnb5ipy3fqs77tpnls4ngxy6semzkdq7d2z7y,"Withdraw ₳69,459,000 for Catalyst 2025 Proposal by Input Output: Advancing De...",69459000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,24,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreidcvqu57gic4bigicuk6ssiykrkrfzi7c3jlwgiyxuskggqnyvcim,"Withdraw ₳6,000,000 for Cardano Summit 2025 and regional tech events",6000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,25,TreasuryWithdrawals,2025-07-18T15:40:57,576,577,,,ipfs://bafkreihhdmx6eumwipv4zlhlrbbkz6uj52y6xpzpjgwfnkzzzamtqgmq4u,"Withdraw ₳6,000,000 for Unveiling the First Unified Global Events Marketing S...",6000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,26,TreasuryWithdrawals,2025-07-18T15:40:57,576,577,,,ipfs://bafkreidlb2fusg7asmfcnugcrzmfkhk6sb32b4st5ieji2q3oxmbhm6sma,"Withdraw ₳12,000,000 for Cardano Builder DAO administered by Intersect",12000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,27,TreasuryWithdrawals,2025-07-18T15:40:57,,,577,578,ipfs://bafkreicek47fmmvljbc2bjosg23x7hj5h7ijg7on447oy5gfuii7opgm6y,"Withdraw ₳1,500,000 for Complement Catalyst: Extended Quadratic Funding---Zer...",1500000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,28,TreasuryWithdrawals,2025-07-18T15:40:57,577,578,,,ipfs://bafkreidb56gwlzeuzav2xfubcbqa7txllbl2byiadnlxjdr2dgaqgb7z4m,"Withdraw ₳3,126,000 for Ecosystem Exchange Listing and Market Making service...",3126000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,29,TreasuryWithdrawals,2025-07-18T15:40:57,577,578,,,ipfs://bafkreicewinu7ogkkxho7ubwpi6q4iy2xqs2pv4lhvueyz6qe3rkc2icru,"Withdraw ₳889,500 for Cardano Ecosystem Pavilions at Exhibitions",889500000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,30,TreasuryWithdrawals,2025-07-18T15:40:57,,,577,578,ipfs://bafkreidccjzvdy7np2uybq22w4n52cqu2qguoaws4o3j3wvu2rk4n27npq,"Withdraw ₳3,000,000 for High-yield RWA Asset for Cardano: Tokenized Real Estate",3000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,31,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreihki45xehzrcyk6e7onyjc3u4mjg3vbd72oi5wfg2h6blemtr65yq,"Withdraw ₳4,000,000 for Expanding Stablecoin / Cardano Native Asset Support...",4000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,32,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreigq3zbxymon7of3x4jtn7zrzjk2merntcd54yhvmgsjsduq6h3zwa,"Withdraw ₳26,840,000 for Input Output Research (IOR): Cardano Vision - Wor...",26840000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,33,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreialtiknfumaxc23xjqxs2r4g5qjca3tikopmottieu5iq2sr77b3i,"Withdraw ₳199,911 for OpShin - Python Smart Contracts for Cardano",199911000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,34,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreigrw7v6q2wcnbgjd22ev6eepitgaegtkkmhzwmsccfxmejkc3okbm,"Withdraw ₳314,800 for PyCardano administered by Intersect",314800000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,35,TreasuryWithdrawals,2025-07-18T15:40:57,577,578,,,ipfs://bafkreicjt5d4y7phbqwyhfkmtz75u2nck3is5cuywkcisnmtsuibdrm3li,"Withdraw ₳750,000 for Cardano Product Committee: Community-driven 2030 Carda...",750000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e,36,TreasuryWithdrawals,2025-07-18T15:40:57,575,576,,,ipfs://bafkreig4bosl5dfpmtqguybf4yaffkwo5hcaxxy2k7wlbwdl57twojfk2i,"Withdraw ₳104,347 for MLabs Research towards Tooling for Elliptical Curves...",104347000000
2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313,0,TreasuryWithdrawals,2025-07-18T15:50:20,575,576,,,ipfs://bafkreibelpp2qzjcpeizeobf57tmhl4q6kauutytdve3mqzzjxzp2jqjxm,"Withdraw ₳99,600 for BloxBean Java Tools Maintenance and Enhancement",99600000000
47a0e7a4f9383b1afc2192b23b41824d65ac978d7741aca61fc1fa16833d1111,0,NewCommittee,2025-07-29T18:51:11,580,581,,,ipfs://bafkreicw6kinbtfwxygoj4jf7khextfq6a3yirlhkldhd7zizdq4xu2ghm,Replace Interim Constitutional Committee,
4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a,0,TreasuryWithdrawals,2025-08-02T12:46:02,,,580,581,https://raw.githubusercontent.com/snekadmin/Public/refs/heads/main/data.jsonld,Cardano Global Listing Expansion - Powered by Snek,5000000
1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d,0,TreasuryWithdrawals,2025-08-02T13:34:22,,,580,581,https://raw.githubusercontent.com/snekadmin/Public/refs/heads/main/data_final.jsonld,Withdraw ₳5M for Cardano's Global Listing Expansion - Powered by Snek,5000000000000
207b226e110e13bb18b119fcd313520e0fcd060b2bc9fb9a5e5bc6e94ab10f3b,0,NewConstitution,2025-08-04T15:08:40,,,581,582,ipfs://bafkreig4vjv636y7yhc3va6u4u6euluzs7wxwas5ntwqrvyzafjnnbcsgu,CARDANO BLOCKCHAIN ECOSYSTEM CONSTITUTION v2.0,
89e3a4f09122d669d6f6c82dd894e02826e8497be7eb036233bafc0ee4fc6665,0,InfoAction,2025-09-01T16:17:07,,,586,587,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmTRrewK9MzARcCSYNFwmqizjFpMRK2kZhe9R6NJU4XHwJ,Cardano in Oceania: A community-led strategic plan for investing in growth.,
90cf51975f9c19c291bac3e57364a89507e64daa0a2d35e356f87e6684821556,0,InfoAction,2025-09-03T15:27:37,,,587,588,ipfs://bafkreiegpigegytetkwrqhftqphcqjkammmjipwq2d57s6xkfbtxiq3tei,Budget: ₳5M Loan for Cardano's Global Listing Expansion - Powered by Snek,
e5643c33f608642e329228a968770e5b19ef5f48ff1f698712e2ce864a49e3f0,0,InfoAction,2025-09-16T18:57:09,,,589,590,ipfs://bafkreihk5qt5tgbojnno7eymbm2urm6y6jkt4yqfxdzh3agnj47zuv7lpe,Stablecoin DeFi Liquidity Budget,
996edfe370b8e51be73541e75499a818461305e37c7fa0c1b193f2c587167cc7,0,InfoAction,2025-09-18T12:46:56,,,590,591,ipfs://bafkreigc2vumhgcgfuouuk5ndom4dg3yxncuhdcsyirbkybggd5bv47sve,Defining the Cardano 2030 Vision & Strategy,
d2db60c5307cb517c735e2d0138d2b6f10fc5b221d610fa187719bdc82af9a03,0,TreasuryWithdrawals,2025-09-23T11:01:41,,,591,592,ipfs://bafkreihju7a6zywpv3adaeeg4nnyrkewurng5csavsspmqsgikzg2suhry,"Withdraw ₳1,150,000 for GovTool 12 months active maintenance and development",1150000000000
c882f194684d672316212f01efc6d28177e8965b7cd6956981fe37cc6715961e,0,NewConstitution,2025-10-03T13:28:05,,,593,594,ipfs://bafkreig4ural237c4gczp4srzygsmlaquiibixiskus2lwy4a6vilivgiy,CARDANO BLOCKCHAIN ECOSYSTEM CONSTITUTION v2.3,
d2745225498d1c56c0f01be9971074a49144d625df0e73a86c51689624fbadb0,0,InfoAction,2025-10-21T20:16:17,,,596,597,ipfs://QmZdZ387ZfcDwQ4YYSPAvWX42gX1w8nGPdhbwk7gxTtNBE,Constitutional Committee Compensation Epochs 581-653,
a36eafaea085b77f97cceacf07fe9450f8c6b47fec3af94da8f7d158a1fc9722,0,InfoAction,2025-10-22T08:20:03,,,597,598,https://ipfs.io/ipfs/QmeMvA4j38n46hye724etsdUoUMzQ3T9bvmHMJUtNRf9ps,Securing  Generic Top-Level Domains for the Cardano Ecosystem,
03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a,0,TreasuryWithdrawals,2025-10-23T15:59:15,597,598,,,ipfs://bafkreidl43ghacdpczaims63glq5kepaa63d63cr5mrpznv56jdm7e2eny,"Loan ₳5,000,000 to Expand Cardano's Global Listings",5000000000000
3285b7fd0da16d21e0b8f8910c37f77e17a57cfff8f513df4baf692954801088,0,InfoAction,2025-10-24T07:07:56,,,597,598,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmR7khTUdWyQFdNvyXDsuyZLUNsdfm7Ejo9wKfKdRE3ReG,Reimburse Ikigai Info Governance Action Deposit.,
8f54d021c6e6fcdd5a4908f10a7b092fa31cd94db2e809f2e06d7ffa4d78773d,0,InfoAction,2025-11-27T19:50:18,,,604,605,ipfs://bafkreicbxui5lbdrgcpjwhlti3rqkxfnd3vveiinkcu2zak5bny435w4yq,Cardano Critical Integrations Budget,
d16dffbae9d86a73cb343506e6712d79c278096dc25e8ba6900eb24522726bba,0,InfoAction,2025-11-30T20:13:21,,,604,605,ipfs://Qmeme8EWugVPQeVghpqB53nvG5U4VT9zy3Ta545fEJPnqL,2025 Net Change Limit Extension,
f8393f1ff814d3d52336a97712361fed933d9ef9e8d0909e1d31536a549fd22f,0,TreasuryWithdrawals,2025-12-08T22:34:44,605,606,,,ipfs://bafkreiecqskxkmakkrzrs2xs2olh5jcwbuz5qr5gesp6merwcaydcaojiq,"Withdraw ₳70,000,000 for Cardano Critical Integrations Budget",70000000000000
4dab331457b61b824bbc6ba4b9d9be4750e25c0b5dd42207aeb63c7431a6b704,0,NewCommittee,2025-12-09T20:49:04,601,602,,,ipfs://bafkreibqxuceexlhali4nhqo7tvsdzrcndzr775pv7wfsdq2lbxtyk4emu,Add Constitutional Committee Member,
eb8ef28ca80dbd9ced6f577f013bdfc64897d1f4e326beb37a50fb6b62c38ccd,0,NewCommittee,2025-12-15T20:36:44,,,607,608,ipfs://Qme6n18tBndukAbRyvHc6MMj8WrjsBnppYvTAmsm3SHa4y,Add Constitutional Committee Member - Christina,
3a5be93bafd26d0dbb9bfe19f4acecaa38cef75e50201d19199e6cc856db6601,0,InfoAction,2025-12-17T17:17:07,,,608,609,ipfs://bafkreifxxz6n33l5umvgxdoxzp35gsnbzvi63slmeqnwg3pj4gsrwnzr4e,"Cardano 2030: Vision, Mission, Strategy Framework and KPIs",
91a79f5c934b7c91e3027736d565080c2b6611fb8484b1156fdf16121fcfb410,0,NewConstitution,2025-12-18T03:17:40,608,609,,,ipfs://bafkreigxpweqv2rnh7ajt5hzdq6gikogmaq3nbyof5uvdntc4hkg52ghqy,CARDANO BLOCKCHAIN ECOSYSTEM CONSTITUTION v2.4,
a633504ddc47a852c4ae033c750597d011a3daf00a0f6bbd48de4c52ef1022dc,0,InfoAction,2025-12-29T20:48:29,,,610,611,ipfs://QmP25wNHBBh62eRUBnRbvpXz2DFJ5aQBgbqMq27zpHXNjs,"DeltaDeFi: Hydra Trading Infrastructure Budget (₳1,500,000)",
dc4c679c8cf1cec49817d4d2c1c96cd802ec8a047a11dc0b0bb125b5af0a76cd,0,InfoAction,2026-01-09T17:22:09,,,612,613,ipfs://bafkreidpcmogdet4beysyxq4u7l2qywplbfnahudyevqjcu2yxiceurn3u,Net Change Limit (Epoch 613 to Epoch 713),
8845bfc37bb2f69e8f200fe28148b3dea3c4399b0c49ee0ed2bb4e349cab9eb7,0,InfoAction,2026-01-13T11:44:59,,,613,614,ipfs://bafkreiaaevieqcufh6or65xtva2r2txy2tre45p4vlesfz5l3l5kpd6djm,Name Protocol Version 11 hard fork - van Rossem,
c21b00f90f18fce4003edf42b0b0d455126e01c946e80cc5341a9f9750caf795,0,ParameterChange,2026-01-14T18:16:48,613,614,,,ipfs://bafkreifwx5z25x6bh5vcwgvzrajy7qlgisukglywjjduwfsrsnp752pqca,Increase Transaction and Block Memory Units (Part 1 of 2),
4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2,0,TreasuryWithdrawals,2026-01-15T03:32:00,,,614,615,https://raw.githubusercontent.com/theeldermillenial/2025-liquidity-budget/refs/heads/master/withdrawal-1/data.jsonld,Cardano DeFi Liquidity Budget - Withdrawal 1,500000000000
